iter	Passed	Remaining
0	1	148
1	2	145
2	4	140
3	5	131
4	6	131
5	8	128
6	9	128
7	10	126
8	12	125
9	13	124
10	15	122
11	16	121
12	18	120
13	19	119
14	20	117
15	22	116
16	23	114
17	24	112
18	26	110
19	27	109
20	28	108
21	30	106
22	31	105
23	33	104
24	34	103
25	35	102
26	37	100
27	38	99
28	40	97
29	41	96
30	42	95
31	44	93
32	45	92
33	47	91
34	48	90
35	50	88
36	51	87
37	52	86
38	54	84
39	55	83
40	57	82
41	57	79
42	59	78
43	60	77
44	61	75
45	63	74
46	64	72
47	65	71
48	67	69
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	78	57
58	80	55
59	81	54
60	83	53
61	84	51
62	85	50
63	87	49
64	88	47
65	90	46
66	91	45
67	92	43
68	94	42
69	95	40
70	96	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	104	31
77	106	29
78	107	28
79	108	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	19
86	118	17
87	119	16
88	121	15
89	122	13
90	124	12
91	125	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	132	2
98	134	1
99	135	0
